"method","fdp","power","n","A","rep","scenario"
"Oracle",0.2,1,500,0.5,1,"Non-informative"
"Oracle",0.05,0.95,500,0.5,2,"Non-informative"
"Oracle",0,0.55,500,0.5,3,"Non-informative"
"Oracle",0.0909090909090909,1,500,0.5,4,"Non-informative"
"Oracle",0,0,500,0.5,5,"Non-informative"
"Oracle",0.0952380952380952,0.95,500,0.5,6,"Non-informative"
"Oracle",0.05,0.95,500,0.5,7,"Non-informative"
"Oracle",0,0.5,500,0.5,8,"Non-informative"
"Oracle",0,1,500,0.5,9,"Non-informative"
"Oracle",0.0476190476190476,1,500,0.5,10,"Non-informative"
"Oracle",0.130434782608696,1,500,0.5,11,"Non-informative"
"Oracle",0.130434782608696,1,500,0.5,12,"Non-informative"
"Oracle",0,1,500,0.5,13,"Non-informative"
"Oracle",0,0,500,0.5,14,"Non-informative"
"Oracle",0,0.95,500,0.5,15,"Non-informative"
"Oracle",0,0,500,0.5,16,"Non-informative"
"Oracle",0,0,500,0.5,17,"Non-informative"
"Oracle",0.05,0.95,500,0.5,18,"Non-informative"
"Oracle",0.05,0.95,500,0.5,19,"Non-informative"
"Oracle",0,1,500,0.5,20,"Non-informative"
"Oracle",0.130434782608696,1,500,0.5,21,"Non-informative"
"Oracle",0,0.5,500,0.5,22,"Non-informative"
"Oracle",0.354838709677419,1,500,0.5,23,"Non-informative"
"Oracle",0.0909090909090909,1,500,0.5,24,"Non-informative"
"Oracle",0,1,500,0.5,25,"Non-informative"
"Oracle",0,0,500,0.5,26,"Non-informative"
"Oracle",0,0.95,500,0.5,27,"Non-informative"
"Oracle",0,1,500,0.5,28,"Non-informative"
"Oracle",0,0.55,500,0.5,29,"Non-informative"
"Oracle",0.130434782608696,1,500,0.5,30,"Non-informative"
"Oracle",0.0909090909090909,1,500,0.5,31,"Non-informative"
"Oracle",0.2,1,500,0.5,32,"Non-informative"
"Oracle",0.166666666666667,1,500,0.5,33,"Non-informative"
"Oracle",0,1,500,0.5,34,"Non-informative"
"Oracle",0.0952380952380952,0.95,500,0.5,35,"Non-informative"
"Oracle",0.2,1,500,0.5,36,"Non-informative"
"Oracle",0,0.65,500,0.5,37,"Non-informative"
"Oracle",0.0476190476190476,1,500,0.5,38,"Non-informative"
"Oracle",0.05,0.95,500,0.5,39,"Non-informative"
"Oracle",0.0952380952380952,0.95,500,0.5,40,"Non-informative"
"Oracle",0,0.6,500,0.5,41,"Non-informative"
"Oracle",0,1,500,0.5,42,"Non-informative"
"Oracle",0.0476190476190476,1,500,0.5,43,"Non-informative"
"Oracle",0,1,500,0.5,44,"Non-informative"
"Oracle",0.0952380952380952,0.95,500,0.5,45,"Non-informative"
"Oracle",0.0909090909090909,1,500,1,1,"Non-informative"
"Oracle",0.130434782608696,1,500,1,2,"Non-informative"
