"A","scenario","method","FDR","Power"
0.5,"MNAR(e), g1=3","Naive",0.0881267645253932,0.85
1,"MNAR(e), g1=3","Naive",0.0984116662517785,0.922222222222222
1.5,"MNAR(e), g1=3","Naive",0.0881969881969882,0.824444444444444
2,"MNAR(e), g1=3","Naive",0.0889214167475037,0.918888888888889
2.5,"MNAR(e), g1=3","Naive",0.111760225241603,0.895555555555556
3,"MNAR(e), g1=3","Naive",0.102453393806051,0.876666666666667
0.5,"MNAR(Y), g1=1","Naive",0.0592900974401101,0.767777777777778
1,"MNAR(Y), g1=1","Naive",0.0541135997657737,0.871111111111111
1.5,"MNAR(Y), g1=1","Naive",0.0737612866646683,0.778888888888889
2,"MNAR(Y), g1=1","Naive",0.0723736176151635,0.791111111111111
2.5,"MNAR(Y), g1=1","Naive",0.0775171044736262,0.806666666666667
3,"MNAR(Y), g1=1","Naive",0.0657103459628004,0.97
0.5,"Non-informative","Naive",0.043187151013238,0.707777777777778
1,"Non-informative","Naive",0.0686043666478449,0.864444444444444
1.5,"Non-informative","Naive",0.063159264719367,0.872222222222222
2,"Non-informative","Naive",0.0543163599685339,0.831111111111111
2.5,"Non-informative","Naive",0.0758279763560457,0.866666666666667
3,"Non-informative","Naive",0.0712915989002946,0.788888888888889
0.5,"MNAR(e), g1=3","Oracle",0.0597729178514592,0.817777777777778
1,"MNAR(e), g1=3","Oracle",0.0592608045023504,0.822222222222222
1.5,"MNAR(e), g1=3","Oracle",0.0885470648514127,0.843333333333333
2,"MNAR(e), g1=3","Oracle",0.0716670943383077,0.815555555555556
2.5,"MNAR(e), g1=3","Oracle",0.0675920237239578,0.897777777777778
3,"MNAR(e), g1=3","Oracle",0.0478514963297572,0.876666666666667
0.5,"MNAR(Y), g1=1","Oracle",0.0597729178514592,0.817777777777778
1,"MNAR(Y), g1=1","Oracle",0.0592608045023504,0.822222222222222
1.5,"MNAR(Y), g1=1","Oracle",0.0885470648514127,0.843333333333333
2,"MNAR(Y), g1=1","Oracle",0.0716670943383077,0.815555555555556
2.5,"MNAR(Y), g1=1","Oracle",0.0675920237239578,0.897777777777778
3,"MNAR(Y), g1=1","Oracle",0.0478514963297572,0.876666666666667
0.5,"Non-informative","Oracle",0.0597729178514592,0.817777777777778
1,"Non-informative","Oracle",0.0592608045023504,0.822222222222222
1.5,"Non-informative","Oracle",0.0885470648514127,0.843333333333333
2,"Non-informative","Oracle",0.0716670943383077,0.815555555555556
2.5,"Non-informative","Oracle",0.0675920237239578,0.897777777777778
3,"Non-informative","Oracle",0.0478514963297572,0.876666666666667
